id,title,type,genres,averageRating,numVotes,releaseYear
tt11992526,Harga,tvSeries,Drama,8.9,10014,2021
tt1375666,Inception,movie,"Action, Adventure, Sci-Fi",8.8,2602440,2010
tt0137523,"Fight Club",movie,Drama,8.8,2382865,1999
tt0109830,"Forrest Gump",movie,"Drama, Romance",8.8,2308847,1994
tt0167261,"The Lord of the Rings: The Two Towers",movie,"Action, Adventure, Drama",8.8,1821400,2002
tt0060196,"The Good, the Bad and the Ugly",movie,"Adventure, Drama, Western",8.8,826928,1966
tt2442560,"Peaky Blinders",tvSeries,"Crime, Drama",8.8,676468,2013
tt10986410,"Ted Lasso",tvSeries,"Comedy, Drama, Sport",8.8,368939,2020
tt7660850,Succession,tvSeries,"Comedy, Drama",8.8,291511,2018
tt0472954,"It's Always Sunny in Philadelphia",tvSeries,Comedy,8.8,257563,2005
tt0098936,"Twin Peaks",tvSeries,"Crime, Drama, Mystery",8.8,220158,1990
tt3398228,"BoJack Horseman",tvSeries,"Animation, Comedy, Drama",8.8,197513,2014
tt0193676,"Freaks and Geeks",tvSeries,"Comedy, Drama",8.8,155528,1999
tt0214341,"Dragon Ball Z",tvSeries,"Action, Adventure, Animation",8.8,152928,1996
tt0264235,"Curb Your Enthusiasm",tvSeries,Comedy,8.8,151307,2000
tt7137906,"When They See Us",tvMiniSeries,"Biography, Crime, Drama",8.8,141717,2019
tt23849204,"12th Fail",movie,"Biography, Drama",8.8,131149,2023
tt14650074,Dhindora,tvSeries,"Comedy, Drama",8.8,122994,2021
tt0072500,"Fawlty Towers",tvSeries,Comedy,8.8,101604,1975
tt3530232,"Last Week Tonight with John Oliver",tvSeries,"Comedy, News, Talk-Show",8.8,97165,2014
tt0112130,"Pride and Prejudice",tvMiniSeries,"Drama, Romance",8.8,94081,1995
tt0121220,"Dragon Ball Z",tvSeries,"Action, Adventure, Animation",8.8,90231,1989
tt10233448,"Vinland Saga",tvSeries,"Action, Adventure, Animation",8.8,82630,2019
